3  604  301  355  341  313
4  294  284  261  306  224
5  254  255  264  260  274
6  241  307  230  317  237
7  284  217  228  281  218
8  240  283  234  286  221
9  233  244  277  238  270
10  220  260  248  291  224
11  230  213  248  220  227
12  221  261  247  264  224
13  230  243  238  244  230
14  230  236  237  307  214
15  254  227  255  256  224
16  237  254  251  283  221
17  224  213  285  227  277
18  224  248  226  290  251
19  225  230  244  230  244
20  234  253  231  287  244
21  237  231  241  250  223
22  224  247  230  305  224
23  230  223  231  233  220
24  250  243  238  290  227
25  227  224  224  230  224
26  227  257  240  294  217
27  237  230  234  254  227
28  231  254  238  281  228
29  237  240  244  224  220
30  228  254  234  291  223
31  287  231  241  270  228
32  267  264  240  273  221
33  244  247  291  258  274
34  240  270  257  274  253
35  231  234  258  238  247
36  241  261  243  287  247
37  240  230  254  231  247
38  226  260  241  288  237
39  234  234  255  245  248
40  240  264  245  274  248
41  231  241  250  238  251
42  240  273  258  278  247
43  231  251  250  241  247
44  230  260  244  277  237
45  241  233  257  243  250
46  237  277  243  284  245
47  241  264  241  273  251
48  230  281  245  274  241
49  241  237  254  241  248
50  241  280  255  281  248
51  241  247  257  251  250
52  240  281  254  284  251
53  231  240  253  248  254
54  221  273  253  297  247
55  231  247  253  251  251
56  231  264  257  271  245
57  234  250  247  247  247
58  230  275  244  275  251
59  244  267  254  250  250
60  241  300  234  270  233
61  240  291  254  247  248
62  244  304  251  301  251
63  271  287  257  258  250
64  251  311  254  264  247
65  241  271  274  250  277
66  243  295  251  278  248
67  238  293  240  251  251
68  234  310  253  274  248
69  251  298  248  254  241
70  268  324  241  287  253
71  247  295  240  261  253
72  248  328  227  277  251
73  251  274  241  253  254
74  251  318  231  267  251
75  244  301  247  251  254
76  251  317  251  281  254
77  246  281  235  255  254
78  247  313  237  294  251
79  248  276  244  258  255
80  245  320  251  284  258
81  248  281  248  256  250
82  244  321  257  285  255
83  248  307  250  257  253
84  248  324  251  274  250
85  247  325  251  263  251
86  246  324  241  317  251
87  241  286  246  268  251
88  244  321  237  283  250
89  244  311  231  288  244
90  243  324  237  288  254
91  243  310  233  274  253
92  273  314  243  287  253
93  245  313  250  271  253
94  247  318  244  317  255
95  248  318  247  264  254
96  243  317  258  294  251
97  241  304  238  267  250
98  243  318  248  294  254
99  244  321  251  255  251
